id,lokasi,titik_koordinat
1,Kepulauan Seribu,-5.742, 106.571
2,USAT Liberty Wreck, Amed,-8.27396, 115.59307
3,Blue Lagoon, Padang Bai,-8.52914, 115.51416
4,Tanjung Bira - Selayar Island, Indonesia,-5.633, 120.467
5,Crystal Bay, Nusa Penida,-8.718, 115.459
6,Raja Ampat, Indonesia,-0.472, 130.824
7,Blue Hole, Egypt,28.572836, 34.536930
8,French Polynesia,-16.494, -151.736
9,Banda Islands,-4.525, 129.902
10,Shark Point, Gili Trawangan,-8.34268, 116.02588
11,Manta Point, Nusa Penida,-8.79547, 115.52553
12,Great Barrier Reef, Australia,-19.307, 147.622
13,Komodo Island, Indonesia,-8.538, 119.610
14,Sangihe Island, Indonesia,3.137, 125.490
15,Maratua Island, Indonesia,2.253, 118.644
16,Mentawai Island, Indonesia,-2.150, 99.500
17,Alor, Indonesia,-8.273, 124.793
18,Menjangan Island, Indonesia,-8.09660, 114.51103